sample_no,aligned_file,unaligned_file,aligned_matched_id,unaligned_matched_id,same_source_sample,aligned_affected,unaligned_affected
01,aligned_version_01.pkl,unaligned_version_01.pkl,221153$_$16,221153$_$16,True,none,"audio,vision"
02,aligned_version_02.pkl,unaligned_version_02.pkl,,,False,"audio,vision","audio,vision"
03,aligned_version_03.pkl,unaligned_version_03.pkl,,,False,"audio,vision","audio,vision"
04,aligned_version_04.pkl,unaligned_version_04.pkl,,,False,"audio,vision","audio,vision"
05,aligned_version_05.pkl,unaligned_version_05.pkl,,,False,none,"audio,vision"
06,aligned_version_06.pkl,unaligned_version_06.pkl,,,False,"audio,vision","audio,vision"
07,aligned_version_07.pkl,unaligned_version_07.pkl,,,False,"audio,vision","audio,vision"
08,aligned_version_08.pkl,unaligned_version_08.pkl,,,False,"audio,vision","audio,vision"
09,aligned_version_09.pkl,unaligned_version_09.pkl,,,False,"audio,vision","audio,vision"
10,aligned_version_10.pkl,unaligned_version_10.pkl,,,False,none,"audio,vision"
11,aligned_version_11.pkl,unaligned_version_11.pkl,,,False,"audio,vision","audio,vision"
12,aligned_version_12.pkl,unaligned_version_12.pkl,,,False,"audio,vision","audio,vision"
13,aligned_version_13.pkl,unaligned_version_13.pkl,,,False,"audio,vision","audio,vision"
14,aligned_version_14.pkl,unaligned_version_14.pkl,EO_5o9Gup6g$_$10,EO_5o9Gup6g$_$10,True,"audio,vision","audio,vision"
15,aligned_version_15.pkl,unaligned_version_15.pkl,,,False,"audio,vision","audio,vision"
16,aligned_version_16.pkl,unaligned_version_16.pkl,,,False,"audio,vision","audio,vision"
17,aligned_version_17.pkl,unaligned_version_17.pkl,,,False,"audio,vision","audio,vision"
18,aligned_version_18.pkl,unaligned_version_18.pkl,,,False,"audio,vision","audio,vision"
19,aligned_version_19.pkl,unaligned_version_19.pkl,,,False,"audio,vision","audio,vision"
20,aligned_version_20.pkl,unaligned_version_20.pkl,,,False,"audio,vision","audio,vision"
21,aligned_version_21.pkl,unaligned_version_21.pkl,,,False,"audio,vision","audio,vision"
22,aligned_version_22.pkl,unaligned_version_22.pkl,,,False,"audio,vision","audio,vision"
23,aligned_version_23.pkl,unaligned_version_23.pkl,,,False,"audio,vision","audio,vision"
24,aligned_version_24.pkl,unaligned_version_24.pkl,zhNksSReaQk$_$27,zhNksSReaQk$_$27,True,"audio,vision","audio,vision"
25,aligned_version_25.pkl,unaligned_version_25.pkl,194299$_$14,194299$_$14,True,"audio,vision","audio,vision"
26,aligned_version_26.pkl,unaligned_version_26.pkl,,,False,"audio,vision","audio,vision"
27,aligned_version_27.pkl,unaligned_version_27.pkl,,,False,"audio,vision","audio,vision"
28,aligned_version_28.pkl,unaligned_version_28.pkl,,,False,"audio,vision","audio,vision"
29,aligned_version_29.pkl,unaligned_version_29.pkl,,,False,"audio,vision","audio,vision"
30,aligned_version_30.pkl,unaligned_version_30.pkl,,,False,"audio,vision","audio,vision"
