sample_id,rank,modality,modality_id,position,selector_score,local_importance,prototype_available,prototype_status,prototype_index,prototype_similarity,prototype_sample_id,prototype_position,text_span,char_start,char_end,start_sec,end_sec,start_frame,end_frame,representative_frame,mapping_method,mapping_confidence
01,1,text,0,12,3.276029348373413,0.2540323734283447,True,matched,5,0.7380943298339844,cRFiXLzcCOA$_$3,35,to,76,78,4.992700729927007,5.124087591240876,149,153,151,token_offset_proportional_fallback,0.35
01,2,text,0,11,3.100965738296509,0.2730942666530609,True,matched,5,0.6987506747245789,cRFiXLzcCOA$_$3,35,essential,66,75,4.335766423357664,4.927007299270073,130,147,138,token_offset_proportional_fallback,0.35
01,3,vision,2,4,3.031829595565796,0.05153844133019447,True,matched,70,0.9143548011779785,G8p4QMjLUXI$_$9,4,components,21,31,1.3795620437956204,2.0364963503649633,41,61,51,token_offset_proportional_fallback,0.35
01,4,audio,1,13,2.755277156829834,0.026965586468577385,True,matched,40,0.9285223484039307,hmjfBZGGZR8$_$1,13,ensuring,79,87,5.189781021897811,5.7153284671532845,155,171,163,token_offset_proportional_fallback,0.35
01,5,vision,2,3,2.681365728378296,0.03911483287811279,True,matched,72,0.8977916240692139,XVSDfgstFUQ$_$3,3,wear,16,20,1.051094890510949,1.313868613138686,31,39,35,token_offset_proportional_fallback,0.35
01,6,audio,1,3,2.162194013595581,0.05653322488069534,True,matched,15,0.8925029039382935,33312$_$8,3,wear,16,20,1.051094890510949,1.313868613138686,31,39,35,token_offset_proportional_fallback,0.35
01,7,text,0,10,2.1609690189361572,0.2551213800907135,True,matched,0,0.7258197069168091,b1Il3Nf6BrU$_$6,35,is,63,65,4.138686131386861,4.2700729927007295,124,128,126,token_offset_proportional_fallback,0.35
01,8,vision,2,6,1.953067660331726,0.043599892407655716,True,matched,54,0.9200584888458252,29044$_$4,6,replacing,37,46,2.4306569343065694,3.021897810218978,72,90,81,token_offset_proportional_fallback,0.35
02,1,audio,1,13,3.4633233547210693,0.06646911054849625,True,matched,25,0.9413241147994995,e1E5W_ZefmY$_$10,13,by,48,50,2.4338028169014088,2.535211267605634,73,76,74,token_offset_proportional_fallback,0.35
02,2,vision,2,4,2.8100244998931885,0.09629236161708832,True,matched,70,0.9488774538040161,G8p4QMjLUXI$_$9,4,live,11,15,0.5577464788732395,0.7605633802816901,16,22,19,token_offset_proportional_fallback,0.35
02,3,vision,2,3,2.0928471088409424,0.12087523937225342,True,matched,72,0.8942034244537354,XVSDfgstFUQ$_$3,3,to,8,10,0.4056338028169014,0.5070422535211268,12,15,14,token_offset_proportional_fallback,0.35
02,4,audio,1,11,1.924519658088684,0.052304498851299286,True,matched,25,0.7072124481201172,e1E5W_ZefmY$_$10,13,-,42,43,2.1295774647887327,2.1802816901408453,63,65,64,token_offset_proportional_fallback,0.35
02,5,vision,2,6,1.7623168230056763,0.08968593925237656,True,matched,47,0.8635092377662659,266396$_$45,6,each,19,23,0.9633802816901409,1.1661971830985915,28,34,31,token_offset_proportional_fallback,0.35
02,6,audio,1,3,1.5512492656707764,0.3222919702529907,True,matched,20,0.9076002836227417,kU6YY2z7z0I$_$4,3,to,8,10,0.4056338028169014,0.5070422535211268,12,15,14,token_offset_proportional_fallback,0.35
02,7,audio,1,7,1.5372989177703857,0.1149568185210228,True,matched,33,0.9418252110481262,21137$_$0,7,other,24,29,1.2169014084507044,1.4704225352112676,36,44,40,token_offset_proportional_fallback,0.35
02,8,vision,2,18,1.429205298423767,0.13712406158447266,True,matched,73,0.8646600246429443,39lcRCFvV-s$_$19,18,misery,64,70,3.2450704225352114,3.5492957746478875,97,106,102,token_offset_proportional_fallback,0.35
