version,file_name,sample_no,top_key,fields,matched,match_method,matched_id,matched_split,match_max_abs,match_candidate_count,nearest_id,nearest_split,audio_present,audio_shape,audio_dtype,audio_valid_length,audio_missing_steps,audio_missing_ratio,audio_run_count,audio_longest_run,audio_detection,audio_element_zero_ratio,vision_present,vision_shape,vision_dtype,vision_valid_length,vision_missing_steps,vision_missing_ratio,vision_run_count,vision_longest_run,vision_detection,vision_element_zero_ratio,text_present,text_bert_present,text_bert_shape,text_bert_dtype,text_bert_valid_len,text_bert_starts_with_101,text_bert_mask_has_internal_zero,text_bert_valid_length,text_bert_missing_steps,text_bert_missing_ratio,text_bert_run_count,text_bert_longest_run,text_bert_detection,affected_modalities,affected_count,raw_text,text_char_len,text_word_len,raw_text_equals_dataset02
aligned,aligned_version_01.pkl,01,test,"audio,text_bert,vision",True,text_bert_input_ids,221153$_$16,test,0.0,1.0,,,True,50x74,float32,7,0,0.0,0,0,compared_with_dataset02,0.8897297297297297,True,50x35,float32,7,0,0.0,0,0,compared_with_dataset02,0.88,False,True,3x50,float32,8.0,True,False,8.0,0.0,0.0,0.0,0.0,compared_with_dataset02,none,0,,,,
aligned,aligned_version_02.pkl,02,test,"audio,text_bert,vision",False,unmatched,,,8.018080115318298,,367576$_$4,train,True,50x74,float32,29,5,0.1724137931034483,4,2,heuristic_internal_zeros,0.5835135135135135,True,50x35,float32,29,5,0.1724137931034483,4,2,heuristic_internal_zeros,0.54,False,True,3x50,float32,30.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_03.pkl,03,test,"audio,text_bert,vision",False,unmatched,,,8.203081786632538,,-mJ2ud6oKI8$_$9,train,True,50x74,float32,33,5,0.15151515151515152,5,1,heuristic_internal_zeros,0.5124324324324324,True,50x35,float32,33,9,0.2727272727272727,5,4,heuristic_internal_zeros,0.54,False,True,3x50,float32,34.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_04.pkl,04,test,"audio,text_bert,vision",False,unmatched,,,8.913399696350098,,TxJjAK0WrOY$_$10,train,True,50x74,float32,32,2,0.0625,2,1,heuristic_internal_zeros,0.48486486486486485,True,50x35,float32,32,2,0.0625,2,1,heuristic_internal_zeros,0.42,False,True,3x50,float32,33.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_05.pkl,05,test,"audio,text_bert,vision",False,unmatched,,,4.792820453643799,,cml9rShionM$_$3,test,True,50x74,float32,13,0,0.0,0,0,heuristic_internal_zeros,0.798918918918919,True,50x35,float32,13,0,0.0,0,0,heuristic_internal_zeros,0.76,False,True,3x50,float32,14.0,True,False,,0.0,,,,heuristic_mask_holes,none,0,,,,
aligned,aligned_version_06.pkl,06,test,"audio,text_bert,vision",False,unmatched,,,3.631049871444702,,R0o37yJ1PP0$_$6,train,True,50x74,float32,25,2,0.08,2,1,heuristic_internal_zeros,0.6118918918918919,True,50x35,float32,25,2,0.08,2,1,heuristic_internal_zeros,0.56,False,True,3x50,float32,27.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_07.pkl,07,test,"audio,text_bert,vision",False,unmatched,,,4.060449957847595,,AG5EY8ZaFj4$_$15,valid,True,50x74,float32,22,3,0.13636363636363635,3,1,heuristic_internal_zeros,0.6821621621621622,True,50x35,float32,22,3,0.13636363636363635,3,1,heuristic_internal_zeros,0.64,False,True,3x50,float32,23.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_08.pkl,08,test,"audio,text_bert,vision",False,unmatched,,,5.635729908943176,,rojyUp4FPSg$_$16,valid,True,50x74,float32,16,2,0.125,1,2,heuristic_internal_zeros,0.7662162162162162,True,50x35,float32,16,2,0.125,1,2,heuristic_internal_zeros,0.74,False,True,3x50,float32,17.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_09.pkl,09,test,"audio,text_bert,vision",False,unmatched,,,6.205160140991211,,JP95Fby6qLE$_$1,train,True,50x74,float32,15,2,0.13333333333333333,1,2,heuristic_internal_zeros,0.7808108108108108,True,50x35,float32,15,2,0.13333333333333333,1,2,heuristic_internal_zeros,0.76,False,True,3x50,float32,16.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_10.pkl,10,test,"audio,text_bert,vision",False,unmatched,,,3.3553779125213623,,75RGHaxmUK8$_$3,valid,True,50x74,float32,7,0,0.0,0,0,heuristic_internal_zeros,0.8935135135135135,True,50x35,float32,7,0,0.0,0,0,heuristic_internal_zeros,0.88,False,True,3x50,float32,8.0,True,False,,0.0,,,,heuristic_mask_holes,none,0,,,,
aligned,aligned_version_11.pkl,11,test,"audio,text_bert,vision",False,unmatched,,,3.8509700298309326,,GcfETVXgtg0$_$3,train,True,50x74,float32,14,3,0.21428571428571427,2,2,heuristic_internal_zeros,0.8245945945945946,True,50x35,float32,14,3,0.21428571428571427,2,2,heuristic_internal_zeros,0.8,False,True,3x50,float32,16.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_12.pkl,12,test,"audio,text_bert,vision",False,unmatched,,,8.726570129394531,,6uoM8-9d0zA$_$4,test,True,50x74,float32,13,1,0.07692307692307693,1,1,heuristic_internal_zeros,0.8091891891891891,True,50x35,float32,13,1,0.07692307692307693,1,1,heuristic_internal_zeros,0.78,False,True,3x50,float32,15.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_13.pkl,13,test,"audio,text_bert,vision",False,unmatched,,,5.895464777946472,,127539$_$8,train,True,50x74,float32,20,2,0.1,2,1,heuristic_internal_zeros,0.7075675675675676,True,50x35,float32,20,2,0.1,2,1,heuristic_internal_zeros,0.66,False,True,3x50,float32,21.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_14.pkl,14,test,"audio,text_bert,vision",True,audio_nonzero_positions,EO_5o9Gup6g$_$10,test,0.0,1.0,,,True,50x74,float32,24,2,0.08333333333333333,1,2,compared_with_dataset02,0.6232432432432432,True,50x35,float32,24,2,0.08333333333333333,1,2,compared_with_dataset02,0.58,False,True,3x50,float32,25.0,True,False,25.0,0.0,0.0,0.0,0.0,compared_with_dataset02,"audio,vision",2,,,,
aligned,aligned_version_15.pkl,15,test,"audio,text_bert,vision",False,unmatched,,,9.599519729614258,,257247$_$12,valid,True,50x74,float32,28,3,0.10714285714285714,3,1,heuristic_internal_zeros,0.5767567567567567,True,50x35,float32,28,3,0.10714285714285714,3,1,heuristic_internal_zeros,0.52,False,True,3x50,float32,29.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_16.pkl,16,test,"audio,text_bert,vision",False,unmatched,,,5.41984099149704,,dHk--ExZbHs$_$7,test,True,50x74,float32,35,4,0.11428571428571428,4,1,heuristic_internal_zeros,0.4735135135135135,True,50x35,float32,35,4,0.11428571428571428,4,1,heuristic_internal_zeros,0.4,False,True,3x50,float32,36.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_17.pkl,17,test,"audio,text_bert,vision",False,unmatched,,,2.9263699054718018,,1pvK0_9SQns$_$10,train,True,50x74,float32,23,8,0.34782608695652173,6,3,heuristic_internal_zeros,0.7508108108108108,True,50x35,float32,23,8,0.34782608695652173,6,3,heuristic_internal_zeros,0.72,False,True,3x50,float32,24.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_18.pkl,18,test,"audio,text_bert,vision",False,unmatched,,,6.638260126113892,,241164$_$1,train,True,50x74,float32,18,3,0.16666666666666666,2,2,heuristic_internal_zeros,0.7416216216216216,True,50x35,float32,18,3,0.16666666666666666,2,2,heuristic_internal_zeros,0.72,False,True,3x50,float32,19.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_19.pkl,19,test,"audio,text_bert,vision",False,unmatched,,,5.383723199367523,,werKCgZ5dFE$_$14,train,True,50x74,float32,25,7,0.28,5,2,heuristic_internal_zeros,0.7005405405405405,True,50x35,float32,25,7,0.28,5,2,heuristic_internal_zeros,0.66,False,True,3x50,float32,26.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_20.pkl,20,test,"audio,text_bert,vision",False,unmatched,,,5.985419750213623,,70710$_$2,train,True,50x74,float32,48,13,0.2708333333333333,8,4,heuristic_internal_zeros,0.37513513513513513,True,50x35,float32,48,13,0.2708333333333333,8,4,heuristic_internal_zeros,0.32,False,True,3x50,float32,50.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_21.pkl,21,test,"audio,text_bert,vision",False,unmatched,,,2.93655002117157,,128752$_$15,train,True,50x74,float32,10,3,0.3,3,1,heuristic_internal_zeros,0.8937837837837838,True,50x35,float32,10,3,0.3,3,1,heuristic_internal_zeros,0.88,False,True,3x50,float32,11.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_22.pkl,22,test,"audio,text_bert,vision",False,unmatched,,,6.621875077486038,,ySfHPyaDbqY$_$7,train,True,50x74,float32,18,4,0.2222222222222222,4,1,heuristic_internal_zeros,0.7675675675675676,True,50x35,float32,18,4,0.2222222222222222,4,1,heuristic_internal_zeros,0.74,False,True,3x50,float32,19.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_23.pkl,23,test,"audio,text_bert,vision",False,unmatched,,,7.959929943084717,,76124$_$8,train,True,50x74,float32,14,4,0.2857142857142857,2,3,heuristic_internal_zeros,0.8364864864864865,True,50x35,float32,14,4,0.2857142857142857,2,3,heuristic_internal_zeros,0.82,False,True,3x50,float32,15.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_24.pkl,24,test,"audio,text_bert,vision",True,audio_nonzero_positions,zhNksSReaQk$_$27,test,0.0,1.0,,,True,50x74,float32,9,2,0.2222222222222222,2,1,compared_with_dataset02,0.8935135135135135,True,50x35,float32,9,2,0.2222222222222222,2,1,compared_with_dataset02,0.88,False,True,3x50,float32,10.0,True,False,10.0,0.0,0.0,0.0,0.0,compared_with_dataset02,"audio,vision",2,,,,
aligned,aligned_version_25.pkl,25,test,"audio,text_bert,vision",True,audio_nonzero_positions,194299$_$14,test,0.0,1.0,,,True,50x74,float32,10,2,0.2,2,1,compared_with_dataset02,0.8764864864864865,True,50x35,float32,10,2,0.2,2,1,compared_with_dataset02,0.86,False,True,3x50,float32,11.0,True,False,11.0,0.0,0.0,0.0,0.0,compared_with_dataset02,"audio,vision",2,,,,
aligned,aligned_version_26.pkl,26,test,"audio,text_bert,vision",False,unmatched,,,4.234989881515503,,255226$_$8,train,True,50x74,float32,22,5,0.22727272727272727,4,2,heuristic_internal_zeros,0.7154054054054054,True,50x35,float32,22,5,0.22727272727272727,4,2,heuristic_internal_zeros,0.68,False,True,3x50,float32,24.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
aligned,aligned_version_27.pkl,27,test,"audio,text_bert,vision",False,unmatched,,,3.8710901737213135,,W-q9bPlMIVI$_$14,train,True,50x74,float32,20,6,0.3,4,3,heuristic_internal_zeros,0.7627027027027027,True,50x35,float32,20,6,0.3,4,3,heuristic_internal_zeros,0.74,False,True,3x50,float32,23.0,True,False,,0.0,,,,heuristic_mask_holes,"audio,vision",2,,,,
