video_id,clip_id,text,label,annotation,mode,id,polarity_from_regression,annotation_norm
-3g5yACwYnA,4,"Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.",1.0,Positive,train,-3g5yACwYnA$_$4,positive,positive
-HwX2H8Z4hY,3,"Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation",0.3333333432674408,Positive,train,-HwX2H8Z4hY$_$3,positive,positive
-HwX2H8Z4hY,9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,-0.3333333432674408,Negative,train,-HwX2H8Z4hY$_$9,negative,negative
-NFrJFQijFE,0,so all that has to go through aerodynamic analysis etc,0.0,Neutral,train,-NFrJFQijFE$_$0,neutral,neutral
-THoVjtIkeU,2,I think social justice is extremely important for young people.,1.3333333730697632,Positive,train,-THoVjtIkeU$_$2,positive,positive
-UuX1xuaiiE,9,Having at least an awareness and sensitivity to human rights issues is critical in today's world,0.6666666865348816,Positive,train,-UuX1xuaiiE$_$9,positive,positive
-WXXTNIJcVM,0,"""I just have a passion for it",2.0,Positive,train,-WXXTNIJcVM$_$0,positive,positive
-a55Q6RWvTA,3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",0.6666666865348816,Positive,train,-a55Q6RWvTA$_$3,positive,positive
-aNfi7CP8vM,10,"Did they grow up in a very strict, staunch Republican household and so because of that now they're a very, very liberal Democrat?",0.0,Neutral,train,-aNfi7CP8vM$_$10,neutral,neutral
-aqamKhZ1Ec,1,"And even after the election and the tribal warfare was going on, tribal people were killing one another, but Equity had branches all over the country.",-0.6666666865348816,Negative,train,-aqamKhZ1Ec$_$1,negative,negative
-aqamKhZ1Ec,0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",-2.0,Negative,train,-aqamKhZ1Ec$_$0,negative,negative
-dxfTGcXJoc,0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1.0,Positive,train,-dxfTGcXJoc$_$0,positive,positive
-dxfTGcXJoc,6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,0.6666666865348816,Positive,train,-dxfTGcXJoc$_$6,positive,positive
-egA8-b7-3M,3,One of the things that is most important to do when you consider exhibiting is to think about your goals.,0.6666666865348816,Positive,train,-egA8-b7-3M$_$3,positive,positive
-lqc32Zpr7M,18,"This is an extremely hard time and a way to learn a lot about yourself, your family and your friends; but acceptance is the ultimate stage.",-0.6666666865348816,Negative,train,-lqc32Zpr7M$_$18,negative,negative
-lzEya4AM_4,6,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",-0.3333333432674408,Negative,train,-lzEya4AM_4$_$6,negative,negative
-mJ2ud6oKI8,9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",0.0,Neutral,train,-mJ2ud6oKI8$_$9,neutral,neutral
-mqbVkbCndg,1,And how could we get beyond those limits,0.0,Neutral,train,-mqbVkbCndg$_$1,neutral,neutral
-mqbVkbCndg,4,I said this is a thoroughly pragmatist approach and it is because it’s not about perfection,0.3333333432674408,Positive,train,-mqbVkbCndg$_$4,positive,positive
