version,split,id,video_id,clip_id,text_char_len,text_word_len,text_bert_valid_len,attention_mask_has_internal_zero,regression_label,classification_label,polarity_from_regression,polarity_from_classification,label_sources_agree,audio_valid_length,audio_inferred_length,audio_nonzero_steps,audio_internal_zero_steps,vision_valid_length,vision_inferred_length,vision_nonzero_steps,vision_internal_zero_steps,text_inferred_length,text_internal_zero_steps,audio_matches_bert_length,text_bert_starts_with_101
aligned,train,-3g5yACwYnA$_$4,-3g5yACwYnA,4,187,34,41,False,1.0,2,positive,positive,True,40,40,39,0,40,40,39,0,50,0,True,True
aligned,train,-HwX2H8Z4hY$_$3,-HwX2H8Z4hY,3,106,16,20,False,0.3333333432674408,2,positive,positive,True,19,19,18,0,12,12,3,8,50,0,True,True
aligned,train,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,119,22,26,False,-0.3333333432674408,0,negative,negative,True,25,25,24,0,25,25,18,6,50,0,True,True
aligned,train,-NFrJFQijFE$_$0,-NFrJFQijFE,0,54,10,12,False,0.0,1,neutral,neutral,True,11,11,10,0,0,0,0,0,50,0,True,True
aligned,train,-THoVjtIkeU$_$2,-THoVjtIkeU,2,63,10,13,False,1.3333333730697632,2,positive,positive,True,12,12,11,0,12,12,11,0,50,0,True,True
aligned,train,-UuX1xuaiiE$_$9,-UuX1xuaiiE,9,96,16,20,False,0.6666666865348816,2,positive,positive,True,19,19,18,0,19,19,18,0,50,0,True,True
aligned,train,-WXXTNIJcVM$_$0,-WXXTNIJcVM,0,29,7,10,False,2.0,2,positive,positive,True,9,9,8,0,0,0,0,0,50,0,True,True
aligned,train,-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,339,65,50,False,0.6666666865348816,2,positive,positive,True,49,49,48,0,49,49,48,0,50,0,True,True
aligned,train,-aNfi7CP8vM$_$10,-aNfi7CP8vM,10,129,23,30,False,0.0,1,neutral,neutral,True,29,29,28,0,29,29,28,0,50,0,True,True
aligned,train,-aqamKhZ1Ec$_$1,-aqamKhZ1Ec,1,150,26,31,False,-0.6666666865348816,0,negative,negative,True,30,30,29,0,30,30,29,0,50,0,True,True
aligned,train,-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,87,14,18,False,-2.0,0,negative,negative,True,17,17,16,0,17,17,16,0,50,0,True,True
aligned,train,-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,265,41,50,False,1.0,2,positive,positive,True,49,49,48,0,49,49,48,0,50,0,True,True
aligned,train,-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,188,27,34,False,0.6666666865348816,2,positive,positive,True,33,33,32,0,33,33,32,0,50,0,True,True
aligned,train,-egA8-b7-3M$_$3,-egA8-b7-3M,3,105,20,23,False,0.6666666865348816,2,positive,positive,True,22,22,21,0,22,22,21,0,50,0,True,True
aligned,train,-lqc32Zpr7M$_$18,-lqc32Zpr7M,18,139,26,31,False,-0.6666666865348816,0,negative,negative,True,30,30,29,0,30,30,29,0,50,0,True,True
aligned,train,-lzEya4AM_4$_$6,-lzEya4AM_4,6,228,43,50,False,-0.3333333432674408,0,negative,negative,True,49,49,48,0,49,49,48,0,50,0,True,True
aligned,train,-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,112,22,31,False,0.0,1,neutral,neutral,True,30,30,29,0,30,30,29,0,50,0,True,True
aligned,train,-mqbVkbCndg$_$1,-mqbVkbCndg,1,40,8,10,False,0.0,1,neutral,neutral,True,9,9,8,0,9,9,8,0,50,0,True,True
aligned,train,-mqbVkbCndg$_$4,-mqbVkbCndg,4,91,16,23,False,0.3333333432674408,2,positive,positive,True,22,22,21,0,22,22,21,0,50,0,True,True
aligned,train,-tPCytz4rww$_$16,-tPCytz4rww,16,74,16,19,False,0.0,1,neutral,neutral,True,18,18,17,0,18,18,17,0,50,0,True,True
aligned,train,-vxjVxOeScU$_$2,-vxjVxOeScU,2,90,16,21,False,0.6666666865348816,2,positive,positive,True,20,20,19,0,20,20,19,0,50,0,True,True
aligned,train,-wny0OAz3g8$_$0,-wny0OAz3g8,0,53,9,13,False,0.3333333432674408,2,positive,positive,True,12,12,11,0,12,12,11,0,50,0,True,True
