id,file_stem,raw_text,text_char_len,text_word_len,raw_text_equal_across_versions,text_features_equal,text_bert_equal,id_equal,text_bert_valid_len,text_bert_starts_with_101,aligned_audio_shape,aligned_vision_shape,aligned_text_shape,aligned_audio_nonzero_steps,aligned_audio_internal_zero_steps,aligned_vision_nonzero_steps,aligned_vision_internal_zero_steps,aligned_text_internal_zero_steps,aligned_audio_matches_bert,unaligned_audio_shape,unaligned_vision_shape,unaligned_audio_lengths,unaligned_vision_lengths,unaligned_audio_inferred_length,unaligned_vision_inferred_length,unaligned_audio_internal_zero_steps,unaligned_vision_internal_zero_steps,audio_length_matches_inferred,vision_length_matches_inferred,found_in_dataset02,dataset02_match_count,dataset02_matches,aligned_fields,unaligned_fields
01,01,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,137,21,True,True,True,True,24,True,50x74,50x35,50x768,22,0,22,0,0,True,500x74,500x35,179,135,179,135,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
02,02,We want to live by each other’s happiness - not by each other’s misery.,71,14,True,True,True,True,21,True,50x74,50x35,50x768,19,0,19,0,0,True,500x74,500x35,66,50,66,50,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
03,03,"There's one lender at the moment which I think is just Bankwest who don't take rental income into account, they take rental yield into account.",143,25,True,True,True,True,35,True,50x74,50x35,50x768,33,0,33,0,0,True,500x74,500x35,191,144,191,144,0,0,True,True,True,1,test:GAVpYuhMZAw$_$6,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
04,04,"If I blow it at the team exercise, should I kiss my chances of cheering ""GO BLUE"" goodbye?] Absolutely not.",107,20,True,True,True,True,28,True,50x74,50x35,50x768,26,0,26,0,0,True,500x74,500x35,137,103,137,103,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
05,05,"Hi, my name is Chloe, video marketer for Red Wagon Marketing.",61,11,True,True,True,True,17,True,50x74,50x35,50x768,15,0,15,0,0,True,500x74,500x35,120,90,120,90,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
06,06,"If you're a fan of dancing in that sense, just like to watch people dance, see impressive dance moves then you might want to check out this movie solely for that",161,31,True,True,True,True,37,True,50x74,50x35,50x768,35,0,35,0,0,True,500x74,500x35,163,123,163,123,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
07,07,"As Linn’s associate editor Michael Baadke reports in our November 28 issue, attendees “enthusiastically discussed the topics of growing the hobby, the future of stamp shows, and dealers and philatelic partnerships, along with ways the leading organizations involved in the stamp hobby can work together to make it succeed and grow",330,51,True,True,True,True,50,True,50x74,50x35,50x768,48,0,48,0,0,True,500x74,500x35,425,319,425,319,0,0,True,True,True,1,test:ChhZna-aBK4$_$8,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
08,08,"That brings us to tonight, the Universal Design Grand Challenge",63,10,True,True,True,True,13,True,50x74,50x35,50x768,11,0,11,0,0,True,500x74,500x35,98,74,98,74,0,0,True,True,True,1,test:2m58ShI1QSI$_$2,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
09,09,"(uhh) I did not like this movie at all, I would not recommend it",64,14,True,True,True,True,20,True,50x74,50x35,50x768,18,0,18,0,0,True,500x74,500x35,99,75,99,75,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
10,10,(umm) And you know I really do like to see fluffy chick flicks sometimes so I'm not against that but this one was pretty terrible,129,25,True,True,True,True,32,True,50x74,50x35,50x768,30,0,30,0,0,True,500x74,500x35,195,147,195,147,0,0,True,True,False,0,,"audio,id,raw_text,text,text_bert,vision","audio,audio_lengths,id,raw_text,text,text_bert,vision,vision_lengths"
