version,split,id,video_id,clip_id,raw_text,text_char_len,text_word_len
unaligned,train,-3g5yACwYnA$_$4,-3g5yACwYnA,4,"Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.",187,34
unaligned,train,-HwX2H8Z4hY$_$3,-HwX2H8Z4hY,3,"Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation",106,16
unaligned,train,-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,119,22
unaligned,train,-NFrJFQijFE$_$0,-NFrJFQijFE,0,so all that has to go through aerodynamic analysis etc,54,10
unaligned,train,-THoVjtIkeU$_$2,-THoVjtIkeU,2,I think social justice is extremely important for young people.,63,10
unaligned,train,-UuX1xuaiiE$_$9,-UuX1xuaiiE,9,Having at least an awareness and sensitivity to human rights issues is critical in today's world,96,16
unaligned,train,-WXXTNIJcVM$_$0,-WXXTNIJcVM,0,"""I just have a passion for it",29,7
unaligned,train,-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",339,65
unaligned,train,-aNfi7CP8vM$_$10,-aNfi7CP8vM,10,"Did they grow up in a very strict, staunch Republican household and so because of that now they're a very, very liberal Democrat?",129,23
unaligned,train,-aqamKhZ1Ec$_$1,-aqamKhZ1Ec,1,"And even after the election and the tribal warfare was going on, tribal people were killing one another, but Equity had branches all over the country.",150,26
unaligned,train,-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",87,14
unaligned,train,-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",265,41
unaligned,train,-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,188,27
unaligned,train,-egA8-b7-3M$_$3,-egA8-b7-3M,3,One of the things that is most important to do when you consider exhibiting is to think about your goals.,105,20
unaligned,train,-lqc32Zpr7M$_$18,-lqc32Zpr7M,18,"This is an extremely hard time and a way to learn a lot about yourself, your family and your friends; but acceptance is the ultimate stage.",139,26
unaligned,train,-lzEya4AM_4$_$6,-lzEya4AM_4,6,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",228,43
unaligned,train,-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",112,22
unaligned,train,-mqbVkbCndg$_$1,-mqbVkbCndg,1,And how could we get beyond those limits,40,8
unaligned,train,-mqbVkbCndg$_$4,-mqbVkbCndg,4,I said this is a thoroughly pragmatist approach and it is because it’s not about perfection,91,16
unaligned,train,-tPCytz4rww$_$16,-tPCytz4rww,16,So make sure to get a through or to do a through cleaning of the property.,74,16
unaligned,train,-vxjVxOeScU$_$2,-vxjVxOeScU,2,Don't worry a wedding anniversary speech is one of the easiest speeches to write and give.,90,16
unaligned,train,-wny0OAz3g8$_$0,-wny0OAz3g8,0,trade labor unions didn’t allow Black workers to join,53,9
unaligned,train,-wny0OAz3g8$_$5,-wny0OAz3g8,5,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",125,20
unaligned,train,03X1FwF6udc$_$22,03X1FwF6udc,22,You want to make sure you have a hundred percent of the money that you originally saved for that goal.,102,20
unaligned,train,07Z16yRBFUQ$_$5,07Z16yRBFUQ,5,"That being said mutual funds have rules and the most notable rules are past performance, there's no indication of fair value, and may lose value and not insured by any federal government agency.",194,33
unaligned,train,0BVed2nBq1g$_$0,0BVed2nBq1g,0,Very first one we have is Drama Queen,37,8
unaligned,train,0BVed2nBq1g$_$3,0BVed2nBq1g,3,"Like for example, a friend of mine lost her wallet",50,10
unaligned,train,0BVed2nBq1g$_$2,0BVed2nBq1g,2,Like for a situation or for an event the way this woman would react will be in a very exaggerated and melodramatic way,118,23
unaligned,train,0DBfvvIVmqY$_$13,0DBfvvIVmqY,13,If you could spend Christmas with any J,39,8
unaligned,train,0DBfvvIVmqY$_$14,0DBfvvIVmqY,14,"K Rowling character Fantastic Beasts and Marauders included, who would it be",76,12
unaligned,train,0DBfvvIVmqY$_$4,0DBfvvIVmqY,4,A Harry Potter mug or a Star Wars mug,37,9
unaligned,train,0DBfvvIVmqY$_$8,0DBfvvIVmqY,8,"Starbuck's salted caramel, hot chocolate",40,5
unaligned,train,0EphpADwdPg$_$6,0EphpADwdPg,6,"So that it does happen, but the SECOND time the chorus comes in",63,13
unaligned,train,0FA32bEZ6xI$_$24,0FA32bEZ6xI,24,"They honori architect Robert Robinson Taylor; Bishop Richard Allen, founder of the African Methodist Episcopal Church; and most recently civil rights leader and activist Dorothy Height",184,26
unaligned,train,0FA32bEZ6xI$_$25,0FA32bEZ6xI,25,"She was honored on a stamp just issued February 1, the first day of Black History Month",87,17
unaligned,train,0FA32bEZ6xI$_$28,0FA32bEZ6xI,28,"For Linn’s Stamp News and Scott catalogs, I’m Denise McCarty",60,10
unaligned,train,0FA32bEZ6xI$_$3,0FA32bEZ6xI,3,has left after serving the maximum 12 years allowed on the panel,64,12
unaligned,train,0FA32bEZ6xI$_$6,0FA32bEZ6xI,6,"His documentaries include Finding Your Roots, which currently airs on PBS",73,11
unaligned,train,0FA32bEZ6xI$_$15,0FA32bEZ6xI,15,"On its website today, the United States Postal Service says, “The group selects subjects for recommendation as future stamp issues, made with all postal customers in mind, including stamp collectors",198,30
unaligned,train,0FA32bEZ6xI$_$14,0FA32bEZ6xI,14,” The role of the committee hasn’t changed much,47,9
unaligned,train,0FA32bEZ6xI$_$18,0FA32bEZ6xI,18,” The stamp hobby is represented as well,40,8
unaligned,train,0JuRmhhgMw8$_$0,0JuRmhhgMw8,0,"Dear learners, a warm welcome to the online courses in this objective political science",87,14
unaligned,train,0OC3wf9x3zQ$_$7,0OC3wf9x3zQ,7,"We have JørgenHaslestad, who is the chief executive of Yara International.",74,11
unaligned,train,0OC3wf9x3zQ$_$6,0OC3wf9x3zQ,6,"We have five co-chairs including Ajai Chowdhry, who is the founder and chairman of HDL Technologies from India.",111,18
unaligned,train,0OXeN3MhFeA$_$19,0OXeN3MhFeA,19,"But for you-- for the entrepreneur, as a person, who created the startup-- it's like a never-ending process.",108,18
unaligned,train,0OXeN3MhFeA$_$18,0OXeN3MhFeA,18,You know that your product is ready because of the pipeline of your clients.,76,14
unaligned,train,0OXeN3MhFeA$_$15,0OXeN3MhFeA,15,So let's focus on something-- on one thing-- and be good at it.,63,13
unaligned,train,0Svu5BldR5A$_$0,0Svu5BldR5A,0,"Hi, I'm Carmen Lynne with Expert Village and I'm going to be talking to you today about handwriting analysis, or the posh word for that is graphology.",150,27
unaligned,train,0YdYFtVdlWE$_$7,0YdYFtVdlWE,7,Then we get out,15,4
unaligned,train,0YdYFtVdlWE$_$6,0YdYFtVdlWE,6,Three hours into the ride he starts getting fussy,49,9
unaligned,train,0YdYFtVdlWE$_$8,0YdYFtVdlWE,8,We eat some dinner and he absolutely refuses to get back in the car,67,14
unaligned,train,0YdYFtVdlWE$_$10,0YdYFtVdlWE,10,"Until I stopped and I said, ""I don't know what's going on man",61,13
unaligned,train,0YdYFtVdlWE$_$15,0YdYFtVdlWE,15,"And that to me was like, oh my gosh, I really need to take time to explain everything we're doing, why we're doing it before we leave the house",143,29
unaligned,train,0YdYFtVdlWE$_$14,0YdYFtVdlWE,14,And he hopped right in that seat for me and let me buckle him in,64,15
unaligned,train,0bsTzavb-AE$_$3,0bsTzavb-AE,3,And vitamin D is really really closely related with the hormone system with your body,85,15
unaligned,train,0hCOCt6fWas$_$15,0hCOCt6fWas,15,"Concrete is much cheaper than granite, and it is more easily customized to fit odd shapes or nooks than paying a stone mason to work with granite.",146,27
