split,sample_id,content_steps,truncated,text_candidate_steps,audio_candidate_steps,vision_candidate_steps
train,-3g5yACwYnA$_$4,39,False,39,39,39
train,-HwX2H8Z4hY$_$3,18,False,18,18,3
train,-HwX2H8Z4hY$_$9,24,False,24,24,18
train,-NFrJFQijFE$_$0,10,False,10,10,0
train,-THoVjtIkeU$_$2,11,False,11,11,11
train,-UuX1xuaiiE$_$9,18,False,18,18,18
train,-WXXTNIJcVM$_$0,8,False,8,8,0
train,-a55Q6RWvTA$_$3,48,True,48,48,48
train,-aNfi7CP8vM$_$10,28,False,28,28,28
train,-aqamKhZ1Ec$_$1,29,False,29,29,29
train,-aqamKhZ1Ec$_$0,16,False,16,16,16
train,-dxfTGcXJoc$_$0,48,True,48,48,48
train,-dxfTGcXJoc$_$6,32,False,32,32,32
train,-egA8-b7-3M$_$3,21,False,21,21,21
train,-lqc32Zpr7M$_$18,29,False,29,29,29
train,-lzEya4AM_4$_$6,48,False,48,48,48
train,-mJ2ud6oKI8$_$9,29,False,29,29,29
train,-mqbVkbCndg$_$1,8,False,8,8,8
train,-mqbVkbCndg$_$4,21,False,21,21,21
train,-tPCytz4rww$_$16,17,False,17,17,17
train,-vxjVxOeScU$_$2,19,False,19,19,19
train,-wny0OAz3g8$_$0,11,False,11,11,11
train,-wny0OAz3g8$_$5,27,False,27,27,27
train,03X1FwF6udc$_$22,21,False,21,21,21
train,07Z16yRBFUQ$_$5,39,False,39,39,39
train,0BVed2nBq1g$_$0,8,False,8,8,8
train,0BVed2nBq1g$_$3,11,False,11,11,11
train,0BVed2nBq1g$_$2,26,False,26,26,26
train,0DBfvvIVmqY$_$13,8,False,8,8,8
train,0DBfvvIVmqY$_$14,16,False,16,16,16
train,0DBfvvIVmqY$_$4,9,False,9,9,9
train,0DBfvvIVmqY$_$8,11,False,11,11,11
train,0EphpADwdPg$_$6,14,False,14,14,14
train,0FA32bEZ6xI$_$24,30,False,30,30,30
train,0FA32bEZ6xI$_$25,18,False,18,18,18
train,0FA32bEZ6xI$_$28,18,False,18,18,18
train,0FA32bEZ6xI$_$3,12,False,12,12,12
train,0FA32bEZ6xI$_$6,12,False,12,12,12
train,0FA32bEZ6xI$_$15,35,False,35,35,35
train,0FA32bEZ6xI$_$14,11,False,11,11,11
train,0FA32bEZ6xI$_$18,8,False,8,8,8
train,0JuRmhhgMw8$_$0,15,False,15,15,15
train,0OC3wf9x3zQ$_$7,19,False,19,19,19
train,0OC3wf9x3zQ$_$6,26,False,26,26,26
train,0OXeN3MhFeA$_$19,29,False,29,29,29
train,0OXeN3MhFeA$_$18,15,False,15,15,15
train,0OXeN3MhFeA$_$15,20,False,20,20,20
train,0Svu5BldR5A$_$0,36,False,36,36,36
train,0YdYFtVdlWE$_$7,4,False,4,4,4
