id,sentiment_polarity,sentiment_intensity
aligned_version_01,Neutral,-0.272434
aligned_version_02,Neutral,-0.132604
aligned_version_03,Neutral,0.216713
aligned_version_04,Positive,0.718160
aligned_version_05,Negative,-0.872460
aligned_version_06,Positive,0.855529
aligned_version_07,Positive,0.211943
aligned_version_08,Negative,-0.375961
aligned_version_09,Positive,1.410006
aligned_version_10,Neutral,-0.247574
aligned_version_11,Positive,0.405815
aligned_version_12,Neutral,-0.092927
aligned_version_13,Neutral,0.212004
aligned_version_14,Negative,-0.529009
aligned_version_15,Positive,0.953578
aligned_version_16,Positive,1.454701
aligned_version_17,Negative,-0.272875
aligned_version_18,Negative,-0.239400
aligned_version_19,Neutral,-0.050078
aligned_version_20,Neutral,-0.067873
aligned_version_21,Positive,0.468744
aligned_version_22,Negative,-0.188608
aligned_version_23,Positive,0.419630
aligned_version_24,Negative,-0.325819
aligned_version_25,Neutral,0.082529
aligned_version_26,Positive,0.735791
aligned_version_27,Positive,1.173553
aligned_version_28,Neutral,0.109254
aligned_version_29,Positive,0.478986
aligned_version_30,Neutral,0.081148
