id,video_id,clip_id,mode,pkl_split,label,regression_label,score_abs_diff,annotation,pkl_polarity,classification_label
-3g5yACwYnA$_$4,-3g5yACwYnA,4,train,train,1.0,1.0,0.0,Positive,positive,2
-AUZQgSxyPQ$_$2,-AUZQgSxyPQ,2,test,test,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-HeZS2-Prhc$_$2,-HeZS2-Prhc,2,test,test,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-HwX2H8Z4hY$_$3,-HwX2H8Z4hY,3,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
-MeTTeMJBNc$_$0,-MeTTeMJBNc,0,test,test,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
-NFrJFQijFE$_$0,-NFrJFQijFE,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
-RfYyzHpjk4$_$2,-RfYyzHpjk4,2,test,test,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
-THoVjtIkeU$_$2,-THoVjtIkeU,2,train,train,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
-UacrmKiTn4$_$7,-UacrmKiTn4,7,valid,valid,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
-UuX1xuaiiE$_$9,-UuX1xuaiiE,9,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-WXXTNIJcVM$_$0,-WXXTNIJcVM,0,train,train,2.0,2.0,0.0,Positive,positive,2
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-aNfi7CP8vM$_$10,-aNfi7CP8vM,10,train,train,0.0,0.0,0.0,Neutral,neutral,1
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,train,train,-2.0,-2.0,0.0,Negative,negative,0
-aqamKhZ1Ec$_$1,-aqamKhZ1Ec,1,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,train,train,1.0,1.0,0.0,Positive,positive,2
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-egA8-b7-3M$_$3,-egA8-b7-3M,3,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-lqc32Zpr7M$_$18,-lqc32Zpr7M,18,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
-lzEya4AM_4$_$6,-lzEya4AM_4,6,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,train,train,0.0,0.0,0.0,Neutral,neutral,1
-mqbVkbCndg$_$1,-mqbVkbCndg,1,train,train,0.0,0.0,0.0,Neutral,neutral,1
-mqbVkbCndg$_$4,-mqbVkbCndg,4,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
-qDkUB0GgYY$_$5,-qDkUB0GgYY,5,valid,valid,2.0,2.0,0.0,Positive,positive,2
-s9qJ7ATP7w$_$2,-s9qJ7ATP7w,2,test,test,1.3333333730697632,1.3333333730697632,0.0,Positive,positive,2
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,5,test,test,-2.0,-2.0,0.0,Negative,negative,0
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,6,test,test,0.0,0.0,0.0,Neutral,neutral,1
-tPCytz4rww$_$16,-tPCytz4rww,16,train,train,0.0,0.0,0.0,Neutral,neutral,1
-vxjVxOeScU$_$2,-vxjVxOeScU,2,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
-wny0OAz3g8$_$0,-wny0OAz3g8,0,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
-wny0OAz3g8$_$5,-wny0OAz3g8,5,train,train,1.0,1.0,0.0,Positive,positive,2
-yRb-Jum7EQ$_$1,-yRb-Jum7EQ,1,test,test,0.0,0.0,0.0,Neutral,neutral,1
03X1FwF6udc$_$22,03X1FwF6udc,22,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
07Z16yRBFUQ$_$5,07Z16yRBFUQ,5,train,train,0.0,0.0,0.0,Neutral,neutral,1
0BVed2nBq1g$_$0,0BVed2nBq1g,0,train,train,0.0,0.0,0.0,Neutral,neutral,1
0BVed2nBq1g$_$2,0BVed2nBq1g,2,train,train,-0.3333333432674408,-0.3333333432674408,0.0,Negative,negative,0
0BVed2nBq1g$_$3,0BVed2nBq1g,3,train,train,-0.6666666865348816,-0.6666666865348816,0.0,Negative,negative,0
0DBfvvIVmqY$_$13,0DBfvvIVmqY,13,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
0DBfvvIVmqY$_$14,0DBfvvIVmqY,14,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
0DBfvvIVmqY$_$4,0DBfvvIVmqY,4,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
0DBfvvIVmqY$_$8,0DBfvvIVmqY,8,train,train,2.3333332538604736,2.3333332538604736,0.0,Positive,positive,2
0EphpADwdPg$_$6,0EphpADwdPg,6,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
0FA32bEZ6xI$_$14,0FA32bEZ6xI,14,train,train,0.3333333432674408,0.3333333432674408,0.0,Positive,positive,2
0FA32bEZ6xI$_$15,0FA32bEZ6xI,15,train,train,0.0,0.0,0.0,Neutral,neutral,1
0FA32bEZ6xI$_$18,0FA32bEZ6xI,18,train,train,0.0,0.0,0.0,Neutral,neutral,1
0FA32bEZ6xI$_$24,0FA32bEZ6xI,24,train,train,0.0,0.0,0.0,Neutral,neutral,1
0FA32bEZ6xI$_$25,0FA32bEZ6xI,25,train,train,0.6666666865348816,0.6666666865348816,0.0,Positive,positive,2
0FA32bEZ6xI$_$28,0FA32bEZ6xI,28,train,train,0.0,0.0,0.0,Neutral,neutral,1
0FA32bEZ6xI$_$3,0FA32bEZ6xI,3,train,train,0.0,0.0,0.0,Neutral,neutral,1
0FA32bEZ6xI$_$6,0FA32bEZ6xI,6,train,train,0.0,0.0,0.0,Neutral,neutral,1
0JuRmhhgMw8$_$0,0JuRmhhgMw8,0,train,train,1.0,1.0,0.0,Positive,positive,2
0K7dCp80n9c$_$6,0K7dCp80n9c,6,test,test,0.0,0.0,0.0,Neutral,neutral,1
